R, bias, L, W, Gain
48659.2, 2.05603, 1.91943e-05, 7.48915e-06, -5.6804 
39808.1, 1.76544, 1.66951e-05, 3.98312e-06, 2.6816 
68891.7, 0.900899, 7.57821e-06, 1.1268e-05, 0.519566 
17085, 3.52139, 1.91525e-05, 1.61711e-05, 2.91594 
98334.7, 3.92301, 1.00501e-05, 4.39506e-06, 18.6823 
72025.9, 1.58237, 6.17041e-06, 3.85957e-06, -8.96328 
86022.3, 2.22503, 2.73369e-06, 1.66096e-05, 28.125 
12517.6, 2.89251, 1.94249e-05, 9.36896e-06, 0.823042 
27948.9, 3.41449, 7.38676e-06, 1.2273e-05, 15.8549 
16715, 3.41814, 1.50598e-05, 1.18944e-05, -0.957593 
85370.5, 1.26731, 5.27193e-06, 1.15881e-05, -18.0967 
69546.8, 2.90261, 2.11362e-06, 1.16304e-05, 32.5277 
21576.8, 3.49951, 1.82238e-05, 1.10248e-05, 0.597069 
6780.53, 2.89047, 1.55063e-05, 1.79931e-05, -1.46862 
9969.72, 1.71496, 1.47654e-05, 1.13876e-05, 4.36224 
17189.9, 2.25379, 3.83492e-06, 1.23227e-05, -1.35338 
67239.4, 1.68689, 1.61602e-05, 1.60654e-05, -14.2716 
94451.5, 1.71676, 1.22974e-05, 7.27129e-06, -12.6226 
40016.3, 3.98051, 5.38471e-06, 5.82741e-06, 19.0829 
75736.6, 2.62482, 7.80641e-06, 1.35997e-05, 19.1241 
78150, 2.47281, 9.97858e-06, 8.11587e-06, 8.15877 
6468.59, 3.52048, 2.85527e-06, 1.035e-05, 7.10913 
21192.3, 3.95573, 1.17114e-05, 4.6895e-06, -0.812162 
52874.4, 3.30482, 4.6003e-06, 1.07322e-05, 24.7922 
44436.6, 1.07642, 3.63921e-06, 9.97899e-06, -10.2957 
57129.8, 0.938427, 8.14627e-06, 4.78833e-06, 9.28433 
55377.8, 3.53394, 8.92909e-06, 1.78479e-05, 25.4597 
70169.9, 1.98444, 1.35058e-05, 1.01833e-05, -14.1203 
26749.7, 2.21031, 1.37304e-05, 1.26477e-05, -8.76561 
11186.4, 0.94468, 1.00704e-05, 8.97645e-06, 17.8552 
95798.5, 0.763728, 1.25314e-05, 1.51436e-05, 24.7673 
92110.3, 3.7794, 1.24454e-05, 1.44076e-05, 26.7035 
82168.2, 2.67274, 1.99715e-05, 1.47872e-05, 11.1884 
30450.6, 1.74454, 1.34022e-05, 1.20898e-05, -6.91441 
44125.7, 3.15485, 1.30706e-05, 1.56268e-05, 15.0514 
42197.8, 1.15356, 1.00945e-05, 3.7909e-06, 6.84159 
41673.6, 3.12898, 9.09387e-06, 4.07406e-06, -2.93349 
51700.4, 2.27352, 2.78279e-06, 8.0246e-06, 15.6419 
65163.7, 0.951056, 4.47848e-06, 1.76035e-05, -12.0205 
79143.4, 0.937035, 3.74841e-06, 1.24309e-05, -11.2822 
73761.2, 2.84051, 1.89298e-05, 4.60079e-06, -8.15017 
54199.2, 1.45804, 1.7043e-05, 1.53441e-05, -9.28326 
83643.8, 0.95684, 1.2955e-05, 7.4737e-06, 3.79841 
32141.9, 1.23459, 5.02838e-06, 1.36352e-05, -11.011 
71476, 1.82706, 1.44443e-05, 9.24766e-06, -11.8695 
67069.5, 2.1118, 9.73248e-06, 7.98953e-06, -14.1834 
5459.01, 0.858894, 1.65317e-05, 1.04116e-05, 42.1199 
58520.2, 3.50915, 1.69903e-05, 4.01481e-06, 0.26833 
16895.4, 3.08991, 8.83988e-06, 4.326e-06, -1.53394 
9338.9, 3.17325, 1.10165e-05, 2.96908e-06, 8.57858 
374.891, 1.19235, 1.45175e-06, 8.32521e-06, 21.4772 
54131.6, 3.96987, 4.88949e-06, 1.07363e-05, 28.8975 
53885.2, 1.59596, 1.41687e-05, 3.55834e-06, 1.25734 
14724.4, 2.93219, 9.85112e-06, 5.93423e-06, -2.00211 
60154.7, 1.56044, 5.96599e-06, 1.87131e-05, -3.40241 
31437.8, 2.27952, 2.21643e-06, 6.87238e-06, 9.94977 
66205.2, 3.96729, 1.91625e-05, 1.81347e-05, 22.9648 
27619.1, 1.91836, 1.14349e-05, 6.65996e-06, -3.21331 
94003.8, 1.83473, 1.78168e-05, 1.03236e-05, -13.5242 
31518.3, 0.735251, 1.47537e-05, 2.60837e-06, 65.0045 
43816, 2.71315, 4.59043e-06, 3.80449e-06, 1.23548 
37298.9, 3.65294, 2.93337e-06, 1.43185e-05, 31.0625 
64781.4, 1.15621, 6.49932e-06, 1.46765e-05, -13.9269 
40085.1, 0.682214, 5.84148e-06, 9.19351e-06, 42.8152 
73105.1, 0.634285, 1.86628e-05, 7.37198e-06, 58.5519 
31282, 3.5252, 8.18774e-06, 1.62618e-05, 19.8221 
23171.7, 1.22356, 1.1071e-06, 1.51281e-05, -21.2564 
71485.8, 3.98334, 1.3465e-05, 1.85381e-05, 27.2276 
56264.2, 1.13086, 9.85713e-06, 1.94413e-05, -10.9834 
89812.4, 3.04705, 8.06741e-06, 1.60981e-05, 26.249 
56323.1, 2.56473, 3.6858e-06, 2.94958e-06, 1.00914 
48122.9, 1.2957, 4.00264e-06, 9.68007e-06, -14.3448 
43186.5, 3.66519, 1.15073e-05, 4.44278e-06, 5.54502 
84058, 0.823844, 1.53059e-05, 1.02313e-05, 23.124 
23066.2, 3.9703, 1.52932e-05, 1.59107e-05, 13.505 
83219.3, 2.14348, 1.56201e-05, 1.99424e-05, 9.45446 
62753.4, 2.84396, 1.29083e-05, 9.50623e-06, 9.80746 
7720.22, 2.04001, 6.89535e-06, 1.72988e-05, -5.52506 
80924.3, 3.43403, 1.24166e-05, 6.16478e-06, 14.3853 
65763, 2.02689, 8.18219e-06, 1.36282e-05, 6.86821 
38376.3, 2.96693, 1.07638e-05, 5.1874e-06, -8.36904 
42684.8, 1.59139, 1.49845e-05, 3.7786e-06, 3.22003 
86264, 1.53318, 1.54904e-05, 1.7419e-05, -16.0872 
62645.2, 0.998256, 1.18617e-05, 1.38653e-05, -2.80597 
86748.4, 2.16388, 1.80078e-05, 1.42737e-05, 2.63311 
76183.7, 3.30254, 2.50334e-06, 5.28008e-06, 27.2976 
10784.9, 3.3096, 1.96388e-05, 1.64535e-05, -3.83829 
71945.8, 1.35283, 7.6451e-06, 1.50341e-05, -17.0624 
2944.26, 2.1311, 1.57091e-05, 1.62804e-05, 9.62293 
99296.6, 2.40442, 8.92111e-06, 1.6662e-05, 19.9656 
80422.6, 1.20267, 1.63902e-06, 1.61465e-05, 4.43742 
30003.3, 1.84296, 1.9681e-05, 5.52655e-06, 2.86651 
86383, 3.74194, 1.92901e-05, 1.9446e-05, 24.6157 
7558.4, 2.51012, 1.53357e-05, 1.74033e-05, -0.986502 
9683.98, 1.51183, 9.35282e-06, 1.48447e-05, 0.223286 
28623, 2.53859, 9.62778e-06, 3.84057e-06, -2.76117 
59475.3, 2.29689, 6.53991e-06, 1.2157e-05, 12.6093 
25746.9, 3.8036, 1.6855e-05, 4.52701e-06, -2.01733 
97227.7, 3.96517, 1.40583e-05, 1.01143e-05, 23.9024 
1763.24, 1.93867, 1.8588e-05, 8.84672e-06, 22.04 
58758.2, 3.21842, 1.06891e-05, 1.72265e-05, 21.584 
83029, 0.793465, 1.8003e-05, 1.64866e-05, 23.9824 
55774.8, 1.93817, 1.41305e-05, 2.69099e-06, 0.896773 
79666.9, 2.73776, 1.80483e-05, 1.04555e-05, 8.38721 
62773.7, 1.08432, 1.50688e-05, 1.55822e-05, -4.91451 
26341.4, 3.82793, 6.62847e-06, 3.32292e-06, 2.71721 
33417.8, 0.68511, 1.81836e-05, 1.41634e-05, 49.8886 
34794.4, 1.66646, 1.11448e-05, 1.45243e-05, -10.6306 
64877.9, 3.32961, 1.49558e-05, 6.43636e-06, 9.14411 
60529, 1.3019, 1.08238e-05, 6.99471e-06, -4.80636 
18748.4, 1.69897, 1.35027e-05, 9.60099e-06, -0.207045 
29456.5, 2.4491, 2.30398e-06, 1.18659e-05, 18.5478 
40613.4, 1.6747, 5.15324e-06, 1.05642e-05, -15.4732 
75961.2, 3.46571, 5.31404e-06, 6.7992e-06, 23.5947 
60482.3, 2.89489, 7.62673e-06, 4.11148e-06, 4.19237 
90092.4, 2.66433, 7.7342e-06, 1.5284e-05, 22.5804 
80438.7, 0.622859, 1.62602e-05, 6.60958e-06, 59.5773 
55981.2, 3.55064, 1.86777e-05, 3.15712e-06, -4.12596 
4547.27, 2.1559, 7.94527e-06, 9.38983e-06, 5.04424 
59644.1, 2.4868, 1.51737e-05, 1.39001e-05, 6.57859 
22162.7, 1.56227, 1.43428e-05, 8.99968e-06, 0.686073 
86185.2, 3.6473, 1.03549e-05, 1.50861e-05, 27.3702 
60069, 3.67229, 4.4027e-06, 1.40325e-05, 31.5124 
5435.31, 2.91519, 1.3095e-05, 7.99638e-06, 6.21972 
63705.8, 3.05992, 1.45797e-05, 1.37551e-05, 15.5193 
37023.4, 2.43769, 1.47839e-06, 1.77418e-05, 29.7925 
21156, 1.96324, 1.4356e-05, 1.11438e-05, -3.93566 
68686.2, 3.65812, 1.88726e-05, 1.88314e-05, 21.8058 
69428.9, 2.97041, 3.28578e-06, 1.17192e-05, 28.7923 
8877.69, 0.778495, 1.21968e-05, 6.98415e-06, 52.0577 
1962.05, 3.25924, 7.35676e-06, 1.65141e-05, 3.39992 
84225.4, 1.3298, 3.20979e-06, 4.27252e-06, -13.9002 
33949.8, 3.35141, 1.28463e-05, 7.86677e-06, 5.38268 
1101.24, 3.64572, 1.42013e-05, 3.78839e-06, 25.8686 
48506.5, 1.29437, 6.87413e-06, 2.01132e-06, 6.02723 
32250.8, 0.997578, 1.2847e-05, 5.45027e-06, 13.0938 
78230, 3.03863, 1.73092e-05, 1.19713e-05, 14.145 
85410.9, 1.51511, 1.69377e-05, 1.68705e-05, -14.7676 
77441.4, 3.4962, 1.227e-05, 7.54779e-06, 16.8023 
48350.7, 2.68542, 5.24855e-06, 1.28705e-05, 18.6958 
89803.7, 2.41059, 5.09671e-06, 5.53257e-06, 12.4343 
92409.1, 3.09422, 5.8477e-06, 3.83956e-06, 15.2528 
30734.9, 3.4255, 1.56298e-05, 1.96181e-05, 14.2278 
66902.1, 3.78087, 1.11306e-06, 3.41613e-06, 33.5007 
41651.5, 3.19884, 1.05233e-05, 7.10634e-06, 7.52783 
88940.7, 0.81201, 1.57986e-05, 1.80778e-05, 18.4299 
25350.4, 2.83751, 4.63512e-06, 1.304e-05, 14.8026 
17504.8, 3.32423, 1.07029e-05, 1.76729e-05, 9.75634 
62424, 1.12804, 6.95635e-06, 4.90382e-06, -1.85593 
42904.8, 0.78666, 1.32078e-05, 1.24314e-05, 30.949 
17453.5, 3.46121, 1.57939e-05, 6.82173e-06, -2.24595 
57235, 3.39278, 1.57535e-05, 1.2234e-05, 15.3759 
26822.4, 3.04383, 5.00383e-06, 4.78694e-06, 1.96422 
74579.3, 3.83244, 9.90718e-06, 1.8592e-05, 29.5501 
76581.8, 2.5883, 8.94923e-06, 1.57678e-05, 18.9564 
92988.1, 0.964625, 3.08478e-06, 1.72584e-05, -19.2474 
27652.7, 1.44435, 1.3934e-05, 1.28137e-05, -3.38903 
75916.4, 3.50502, 1.82142e-05, 2.13965e-06, -3.18149 
26617.1, 3.00208, 3.06052e-06, 1.91136e-05, 25.3528 
69444.6, 1.78419, 1.80312e-05, 1.50803e-05, -13.8249 
61282.9, 1.71017, 2.48548e-06, 3.63968e-06, -15.1026 
11663.4, 0.842604, 1.07124e-05, 8.19194e-06, 36.824 
92880.1, 2.19694, 1.73034e-05, 9.7623e-06, -4.2503 
