R, bias, L, W, Gain
66941.2, 1.1474, 5.94193e-06, 1.20991e-06, -3.707 
39523.3, 1.1098, 2.05457e-06, 6.60305e-06, 13.478 
41540.1, 1.62664, 2.45111e-06, 9.16967e-06, 29.6439 
4880.9, 0.785474, 6.92624e-06, 4.43716e-06, 14.5596 
89378.9, 0.969248, 4.07579e-06, 7.59016e-06, 10.2142 
95601.9, 1.54386, 8.1305e-06, 1.86709e-07, 10.2142 
71419.3, 1.44077, 2.92598e-06, 3.2647e-06, 18.8639 
19533, 1.36597, 9.24481e-06, 2.80159e-06, 0.359066 
2338.28, 0.929429, 1.69451e-06, 8.34222e-06, -0.174599 
89801.1, 1.17863, 3.46504e-06, 5.65975e-06, 18.008 
67513.1, 1.3672, 5.25203e-06, 5.65943e-07, -0.103596 
91822.3, 0.985616, 5.54265e-06, 8.32439e-07, -1.30388 
11076.6, 0.61601, 1.51298e-06, 5.53269e-06, 5.23356 
41918.3, 1.51624, 5.18462e-06, 8.869e-06, 20.5168 
48573.4, 1.32694, 9.82985e-06, 6.16152e-07, 7.48128 
80543.9, 1.60264, 5.92998e-06, 7.53293e-06, 25.667 
47423.7, 1.06255, 3.39734e-06, 6.43563e-06, 7.37471 
98546.8, 0.883363, 4.35863e-06, 4.89932e-06, -12.0628 
18784.2, 1.41018, 8.53056e-06, 6.7084e-06, -2.65797 
7729.47, 1.64572, 4.90931e-06, 4.17866e-06, -1.50559 
85783.1, 1.35296, 9.07673e-06, 3.97341e-06, 8.98453 
83422.7, 0.996126, 7.74121e-06, 3.0404e-06, -9.98666 
37861.7, 0.697562, 9.20571e-06, 9.74902e-06, -4.38712 
43667.2, 1.66176, 2.79559e-06, 6.683e-06, 26.6787 
97910.1, 1.04386, 1.3619e-06, 6.93324e-07, -12.0644 
35418.3, 1.23567, 5.5328e-06, 8.28449e-06, 9.24441 
3014.26, 0.696014, 4.08615e-06, 5.27228e-06, 16.4612 
80694.2, 0.70223, 7.3408e-06, 5.89473e-06, -8.58449 
33590.9, 1.43608, 8.49402e-06, 9.09677e-06, 11.6193 
15315, 1.1499, 4.62653e-06, 9.71113e-06, -6.88472 
83627.6, 1.11862, 9.60604e-06, 6.85475e-06, 5.40847 
30507.5, 1.59795, 9.1896e-06, 6.4517e-06, 10.2048 
5897.81, 1.29861, 9.04158e-07, 3.37336e-07, 10.2048 
9572.61, 0.781746, 7.98869e-06, 5.61247e-06, 7.85112 
48008.9, 1.65738, 2.57478e-06, 8.72492e-06, 30.6499 
33392.5, 1.21446, 2.35042e-06, 6.7008e-06, 14.5469 
12636.3, 0.665606, 9.77097e-06, 8.4924e-06, 8.74688 
81641.8, 1.46252, 9.43838e-06, 6.84896e-06, 17.5329 
67940, 1.04741, 9.97154e-06, 9.21797e-06, 1.19748 
12513.5, 0.909573, 9.2535e-06, 5.28886e-06, 4.27177 
78982, 1.49186, 3.20862e-06, 6.94836e-06, 27.8121 
41563.6, 1.67875, 9.64951e-07, 4.4093e-06, 31.8931 
81826.6, 1.46568, 9.95376e-06, 6.75832e-06, 16.9652 
69843, 1.24427, 3.51375e-06, 2.49367e-06, 7.2949 
87014.1, 1.66974, 2.06068e-06, 3.82727e-06, 30.1916 
42053.8, 1.65614, 6.96304e-06, 9.01204e-06, 20.9345 
82941.6, 1.27227, 6.32598e-06, 4.28636e-06, 10.9623 
11259.4, 1.67122, 5.6712e-06, 5.46851e-06, 4.08685 
16257.6, 1.5313, 6.9585e-06, 5.98481e-06, 2.55335 
49062.8, 0.9016, 2.55559e-06, 1.319e-06, -5.35314 
56910.6, 1.493, 3.77908e-06, 6.28488e-06, 22.3906 
71880.1, 1.55546, 9.96256e-06, 2.44478e-07, 22.3906 
15226.5, 1.24268, 2.96607e-06, 2.21111e-06, -3.68585 
62751.5, 1.10372, 4.76763e-06, 2.50245e-06, -11.0101 
85878.8, 1.2238, 6.48309e-06, 8.33831e-06, 17.1236 
60586.1, 1.12756, 2.00463e-06, 2.04342e-06, 3.33765 
25389.1, 1.6346, 5.07358e-06, 8.48088e-06, 17.9923 
49898.3, 0.853724, 3.52604e-06, 4.78758e-06, -13.6589 
69510.7, 1.00849, 3.07207e-06, 5.88131e-06, 9.29038 
20978.9, 1.33618, 8.01085e-06, 5.48144e-06, -6.74087 
83596.1, 1.67478, 6.28498e-06, 9.57025e-07, 3.99569 
29592.5, 1.65212, 9.23149e-07, 7.04934e-06, 33.1162 
89030.3, 1.39733, 3.42907e-06, 7.76057e-06, 27.2451 
22799.8, 1.00597, 7.25311e-06, 2.12449e-06, 3.65294 
17408.3, 1.58019, 8.68512e-06, 2.2763e-06, 1.13257 
74570.9, 1.02611, 1.03584e-06, 4.19863e-07, -8.55511 
25476.3, 1.01625, 9.03912e-06, 7.15451e-07, 14.8382 
38156.9, 1.51975, 9.98719e-07, 7.22897e-06, 32.1308 
26930.8, 1.01285, 2.17121e-06, 4.50091e-06, -12.0917 
4643.57, 0.654259, 9.46845e-06, 5.45646e-06, 22.0409 
99828.5, 1.00484, 4.11881e-07, 9.78764e-06, 33.8964 
72668.1, 1.27352, 3.07046e-06, 4.06731e-06, 16.4321 
60747.9, 0.63825, 1.40272e-06, 4.5891e-06, -10.5609 
12008.3, 0.645236, 3.71264e-06, 6.49599e-06, 5.46378 
87965.2, 1.62744, 8.23404e-06, 7.79066e-06, 24.3548 
94268.5, 0.879579, 4.16258e-06, 2.4049e-06, -12.0419 
79554.2, 1.64637, 2.73383e-06, 9.39456e-06, 35.1014 
84012.2, 1.03503, 8.51086e-06, 2.69444e-06, -8.79036 
96272.9, 0.94321, 6.49509e-06, 5.61953e-06, -6.27645 
66160.3, 0.923028, 5.68812e-06, 2.97853e-06, -9.14378 
40899.6, 1.32399, 7.29341e-06, 7.62252e-06, 10.0084 
40739.5, 1.09772, 1.6491e-06, 5.67752e-06, 13.5633 
54928.3, 0.684603, 8.44171e-06, 8.32421e-06, -6.23557 
23392.5, 1.07716, 6.44358e-06, 7.15641e-06, -9.59889 
3130.76, 1.33969, 2.1549e-06, 6.16433e-06, -2.71549 
99635.1, 0.970056, 6.29345e-07, 3.45263e-06, 18.2488 
91920.3, 0.894077, 3.44299e-06, 2.38455e-07, 18.2488 
4393.11, 0.795131, 1.65045e-06, 4.3491e-06, 3.35341 
47622.1, 1.03829, 4.83366e-06, 9.843e-06, 7.54955 
68758.2, 1.30741, 7.70822e-06, 5.80885e-06, 11.5766 
53603.6, 1.10469, 6.12474e-06, 9.47094e-06, 9.21369 
19389.6, 1.1304, 6.78608e-06, 6.57946e-06, -7.50539 
43600, 1.07982, 4.03758e-06, 9.81882e-06, 10.8291 
2149.66, 1.67654, 4.50598e-06, 2.19795e-06, 13.5926 
53657.6, 1.51497, 6.41086e-06, 1.33572e-06, -3.7939 
1263.11, 1.27009, 2.7374e-06, 1.69657e-06, 19.1658 
73105.1, 0.616661, 3.15742e-07, 5.35785e-06, -14.5834 
40064.7, 1.25337, 6.90921e-06, 7.37893e-06, 7.2532 
8205.45, 1.04236, 8.59093e-07, 8.51799e-06, 0.505198 
44541.6, 1.29406, 5.10573e-06, 6.37721e-06, 11.8257 
14275.7, 0.670217, 7.47291e-06, 4.41756e-06, 11.1911 
15489.8, 1.39537, 2.51847e-07, 3.28199e-06, 23.1193 
87828, 1.66092, 6.11911e-06, 9.82978e-06, 29.7344 
21587.2, 1.01141, 1.12852e-06, 1.90533e-06, -10.3847 
19966.4, 0.680564, 1.59928e-06, 7.09761e-07, 13.234 
57360.8, 0.716012, 1.27805e-06, 6.1753e-06, -19.719 
