R, bias, L, W, Gain [dB], UGF [Hz], PM [degrees]
41760.5,1.39236,1.51127e-07,3.12798e-06,error, error, error
14760.9,0.701572,1.98466e-06,3.55377e-06,error, error, error
39737.1,1.1927,4.27907e-06,6.89941e-06,error, error, error
20524.8,1.56593,4.19768e-07,6.7541e-06,error, error, error
41788.7,1.21456,1.53281e-06,2.1013e-06,error, error, error
80094.4,1.66509,3.23723e-06,6.96938e-06,error, error, error
87651.3,1.58407,9.87685e-07,5.3469e-07,error, error, error
17066.1,1.56596,1.11872e-06,4.29791e-06,error, error, error
95793.2,1.18648,6.96499e-06,3.25783e-06,error, error, error
68681.4,1.51809,3.3014e-07,7.53892e-06,error, error, error
98887.2,1.42298,2.91237e-06,7.9244e-06,error, error, error
10412.3,1.09268,9.09967e-06,3.0421e-06,error, error, error
28848.8,0.743031,3.40765e-07,6.83653e-06,22.327, 8.78299e+07, 94.1145
21241.6,0.892101,4.992e-06,6.75621e-07,error, error, error
57454.3,0.761401,5.95466e-06,7.04262e-06,11.5437, 1.02106e+07, 101.214
10323.2,1.05546,6.98984e-06,4.22967e-06,error, error, error
5090.35,1.18949,6.68838e-06,5.22166e-06,error, error, error
94465,1.24521,9.04851e-06,1.50413e-06,6.51883, 3.18811e+06, 118.158
14013.7,1.48813,4.06712e-06,1.77874e-06,0.389768, 3.48815e+06, 165.118
92758.1,0.982542,7.5455e-06,7.30108e-06,error, error, error
88342.3,1.28604,7.54678e-06,3.58665e-06,error, error, error
27065.8,1.58547,4.3667e-06,9.65367e-06,error, error, error
66377.8,1.28387,1.28025e-06,9.50247e-06,error, error, error
45046.2,1.23623,4.17015e-06,2.48472e-06,5.11036, 8.84954e+06, 125.208
90347.6,1.23105,1.78273e-07,6.22888e-06,error, error, error
32731.8,1.17976,8.87653e-06,3.66911e-06,5.03572, 7.24718e+06, 121.787
90862.7,1.2857,3.05839e-07,9.30496e-06,error, error, error
69120.6,1.69706,1.84755e-06,1.50079e-06,error, error, error
93266.3,1.3665,8.00102e-07,7.59131e-06,error, error, error
75412.2,1.61533,7.15852e-06,1.37407e-06,error, error, error
2086.03,0.628832,4.28819e-07,2.57518e-06,error, error, error
86016.8,1.19271,5.5953e-06,8.444e-06,error, error, error
12504.9,0.907102,5.91973e-06,9.70052e-06,4.90923, 1.85911e+07, 120.006
56146.9,0.620512,8.03623e-06,2.4448e-06,error, error, error
80729.8,1.02665,8.65589e-06,7.50915e-06,error, error, error
55668.4,0.750101,7.40189e-07,1.34523e-06,10.7687, 9.6546e+06, 107.833
4550.73,0.718244,2.37324e-06,7.17294e-06,error, error, error
56015.7,0.613812,8.58947e-07,9.67767e-06,16.0227, 1.82059e+07, 98.342
56853.2,0.823623,2.63541e-06,7.47668e-06,15.5828, 2.74129e+07, 97.0301
19623.4,1.23949,9.7047e-06,8.49126e-06,7.89812, 1.89574e+07, 105.821
24060.8,1.14315,6.25656e-06,8.31546e-06,7.68545, 2.14504e+07, 108.047
15763.5,0.620434,8.39718e-07,4.9405e-06,error, error, error
60672.3,1.22574,3.27602e-06,9.88787e-06,error, error, error
58016.5,1.01816,5.57684e-06,7.49154e-06,error, error, error
66956.4,0.891412,8.03398e-07,3.79533e-06,error, error, error
63008.8,0.831191,7.56464e-06,8.05384e-07,error, error, error
26105.5,1.48523,2.05533e-06,6.44869e-06,error, error, error
52514.6,1.61729,2.74347e-06,7.99717e-07,error, error, error
73533.1,1.4494,9.09199e-06,9.32992e-06,error, error, error
1493.76,0.857798,6.22527e-06,9.49781e-06,error, error, error
95022.6,1.21232,9.16872e-06,6.46943e-06,error, error, error
39061.8,1.13459,6.10246e-06,5.56305e-06,5.75807, 1.24772e+07, 117.581
92625.5,1.61061,4.03952e-06,9.63814e-06,error, error, error
17478.2,0.738962,1.48053e-06,5.13077e-06,8.52103, 2.27717e+07, 111.92
2250.33,1.64277,8.29709e-06,2.97937e-07,error, error, error
17702,0.96527,1.44032e-06,8.12348e-06,0.90411, 2.09265e+07, 154.369
34539.2,1.63412,5.88284e-06,8.8065e-06,error, error, error
84489,1.59593,4.67982e-06,5.53152e-06,error, error, error
79880.5,0.914291,4.979e-06,6.05124e-06,7.0719, 1.12204e+07, 112.366
1651.77,1.25283,4.42171e-06,8.1025e-06,error, error, error
31593,1.58218,5.84189e-06,1.9625e-06,0.518186, 2.59981e+06, 164.419
78814.1,1.27323,6.81006e-07,4.28891e-06,error, error, error
67939,1.61046,1.5396e-07,9.77108e-06,error, error, error
37720.4,1.67116,6.10645e-06,8.31413e-06,error, error, error
57513.7,1.29088,2.96293e-06,5.93031e-06,error, error, error
75027.2,1.54415,7.58756e-06,7.02586e-06,error, error, error
86461.5,0.954949,6.75727e-06,4.59111e-06,14.2986, 9.72531e+06, 98.5853
38272.1,1.05189,4.10457e-06,3.27623e-06,10.066, 1.28489e+07, 108.039
62229.7,1.07327,9.74195e-06,6.82634e-06,6.4931, 8.97012e+06, 112.818
19937.1,1.06937,3.53196e-06,8.00674e-06,7.17738, 3.03618e+07, 112.332
88011.8,1.59423,6.67779e-06,2.81155e-06,error, error, error
25311.4,1.54039,5.34799e-06,8.05129e-06,error, error, error
57291.6,1.40646,5.26226e-06,7.74321e-06,error, error, error
56928.9,1.11228,3.52549e-06,8.21862e-07,2.83643, 2.70027e+06, 144.424
37854.6,0.687589,9.83075e-06,1.93889e-06,error, error, error
81204.7,1.56246,6.93087e-06,5.75952e-06,error, error, error
16181,1.11357,3.54994e-06,2.36664e-06,1.92344, 7.38375e+06, 144.13
59291.9,0.943497,9.17561e-06,9.10991e-06,14.4752, 1.44942e+07, 91.711
25786.1,0.72198,2.05068e-06,5.0709e-06,8.70575, 1.58152e+07, 111.545
72885.7,0.829014,2.59313e-06,8.53897e-06,error, error, error
41643.3,1.27835,2.45161e-06,1.15438e-06,7.47849, 8.79494e+06, 116.816
51634.1,1.12486,1.65382e-06,6.27479e-06,error, error, error
54446.6,1.31955,1.57377e-06,7.55255e-06,error, error, error
22282.7,1.17129,7.88517e-06,3.69955e-07,error, error, error
32503.8,1.56021,8.47039e-06,5.45364e-06,error, error, error
86674.2,1.64479,8.29011e-06,8.56304e-06,error, error, error
9964.47,1.31643,7.07964e-06,6.16087e-06,2.76024, 1.51711e+07, 133.326
79981.6,0.638028,7.73685e-06,7.35753e-06,5.80276, 3.37484e+06, 119.168
26043.9,0.882776,6.37819e-06,3.55118e-06,1.00093, 3.11233e+06, 152.743
79679.2,1.09076,7.86008e-06,9.90615e-06,error, error, error
30094.8,0.757306,9.02789e-06,5.48436e-06,error, error, error
97476.6,1.30026,9.94004e-06,5.5288e-06,error, error, error
52690,0.748971,3.6537e-06,4.08253e-07,error, error, error
16123.5,1.4202,4.49437e-07,3.76045e-06,error, error, error
86248.4,1.36195,6.95578e-06,2.00807e-06,error, error, error
44246.2,1.23974,9.89905e-06,2.15848e-06,2.62415, 3.28884e+06, 138.674
24848.5,0.88839,7.5392e-06,4.65121e-06,1.80177, 4.60438e+06, 146.01
5787.25,1.15937,2.23781e-06,8.01625e-06,8.1595, 6.70564e+07, 111.311
29803.4,0.630367,5.99531e-06,8.46183e-06,error, error, error
38163.5,1.42484,5.18474e-06,5.47838e-06,error, error, error
92758.1,1.00169,7.5455e-06,7.30108e-06,error, error, error
34218.9,1.18864,8.29709e-06,3.68124e-06,6.10574, 8.23238e+06, 117.229
87154.3,1.58394,4.69891e-06,6.87678e-06,error, error, error
22282.7,1.19004,7.89349e-06,5.38425e-06,6.29731, 1.30359e+07, 114.501
23790.3,0.882776,7.1568e-06,1.37328e-06,error, error, error
1479.94,0.823623,2.26891e-06,7.47668e-06,error, error, error
15763.5,0.718743,8.16206e-07,4.30383e-06,8.1702, 2.40666e+07, 112.642
51634.1,1.65879,1.62936e-06,6.3451e-06,error, error, error
62229.7,1.07327,9.74195e-06,7.95365e-06,1.31128, 4.54377e+06, 146.176
68877.1,1.64479,8.29011e-06,8.56304e-06,error, error, error
27059.4,1.48776,4.3667e-06,9.65367e-06,error, error, error
15921.1,1.5428,2.74347e-06,7.48639e-07,error, error, error
58903.2,1.54415,4.53386e-06,7.02209e-06,error, error, error
17744.7,0.738962,1.48053e-06,5.13077e-06,8.64964, 2.28226e+07, 111.617
60672.3,1.22574,3.27602e-06,3.58511e-06,error, error, error
26037.2,1.31643,7.07964e-06,6.15474e-06,0.161107, 2.5938e+06, 170.469
55217.6,0.630367,5.99531e-06,8.46183e-06,5.15725, 4.38786e+06, 121.906
52812.1,1.22428,5.19945e-06,2.1013e-06,8.68521, 7.9644e+06, 113.101
80375.4,0.914783,4.97988e-06,6.00694e-06,7.03373, 1.11186e+07, 112.281
45046.2,1.33973,4.19702e-06,2.34278e-06,error, error, error
10323.2,1.05436,7.53685e-07,4.22967e-06,11.5646, 7.6673e+07, 105.006
84339.7,0.954949,6.75727e-06,4.60329e-06,14.1594, 9.76164e+06, 98.8458
44213.2,1.27761,2.45161e-06,2.08007e-06,error, error, error
88727.7,1.2795,5.22269e-06,7.18295e-06,error, error, error
58065.6,1.30527,2.94984e-06,9.93714e-06,error, error, error
68820.7,1.56593,4.14107e-07,6.7541e-06,error, error, error
9787.81,1.20048,7.07964e-06,6.16087e-06,1.49583, 1.04856e+07, 145.763
87842.3,1.28604,7.54678e-06,3.41351e-06,error, error, error
56257.4,0.613812,8.4136e-07,9.66327e-06,16.1025, 1.831e+07, 98.3297
79648.7,1.27729,5.00942e-06,5.87847e-06,error, error, error
67975.9,1.6234,1.5396e-07,9.66299e-06,error, error, error
24052.8,1.54036,6.19658e-06,5.55328e-06,error, error, error
56988.8,0.891412,8.03398e-07,3.64201e-06,error, error, error
92806.3,0.668427,3.64857e-06,3.81635e-07,error, error, error
79114.7,1.34407,3.10055e-07,4.59413e-06,error, error, error
45474.9,1.23623,4.17015e-06,2.04697e-06,8.51182, 9.51784e+06, 112.183
33280.6,1.21232,9.06702e-06,6.46943e-06,8.16215, 1.3683e+07, 106.987
10412.3,1.0471,9.09967e-06,3.02686e-06,error, error, error
94281.9,1.14787,6.9956e-06,3.85857e-07,error, error, error
80729.8,1.00858,8.65589e-06,2.74917e-06,8.07918, 4.6412e+06, 114.135
44925.7,0.743031,3.40765e-07,9.59414e-06,3.16997, 5.08729e+07, 133.977
68615.2,1.07327,9.74195e-06,6.82634e-06,2.98122, 6.0142e+06, 127.177
79679.2,1.09114,7.89836e-06,6.92121e-06,error, error, error
15763.2,1.50585,5.06276e-07,1.70551e-06,error, error, error
7049.42,0.750101,8.98239e-07,1.42972e-06,error, error, error
26654.9,1.06937,3.53196e-06,8.00674e-06,error, error, error
16116.2,1.34157,4.28276e-07,4.25559e-06,error, error, error
98887.2,1.411,2.91237e-06,7.9244e-06,error, error, error
